,seed,actions
0,3858330000,"[0, 1, 0, 2, 0, 2, 0, 3, 1, 1, 3, 0, 1, 0, 2, 2, 0, 2, 2, 1, 3, 2, 0, 3, 3, 3, 1, 2, 2]"
1,3858330001,"[1, 2, 0, 3, 1, 1, 1, 2, 2, 0, 2, 2, 1, 1, 2, 0, 0, 3, 1, 3, 3, 0, 3, 3, 0, 2, 0, 2, 1, 3, 1, 2, 1, 2, 2, 0, 3, 3, 3, 2, 2, 2, 2, 1, 3, 3, 3, 3, 3, 0, 0]"
2,3858330002,"[3, 0, 1, 1, 3, 3, 0, 2, 0, 0, 3, 1, 3, 2, 0, 2, 1, 1, 3, 0, 1, 2, 0, 0, 3, 0, 3, 0, 3, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 0, 3, 0, 1, 1, 3, 3, 0, 3, 2, 2, 0, 3, 1, 3, 1, 3, 0, 2, 1, 2, 2, 2, 2, 0, 3, 0, 1, 1, 3, 3, 3, 0, 3, 0, 2, 2, 1, 2, 0, 3, 1, 3, 1, 3, 0, 0, 2, 0, 2, 0, 3, 3, 1, 0, 1, 2, 2, 2, 1, 3, 1, 3, 3, 0, 2, 2, 1, 3, 1, 2, 2, 2, 2, 0, 3, 0, 1, 1, 3, 3, 3, 0, 3, 0, 2, 2, 0, 0, 3, 3, 1, 0, 1, 2, 2, 2, 1, 3, 1, 2, 0, 3, 1, 3, 0, 0, 3, 1, 0, 1, 2, 2, 1, 3, 1, 2, 2, 2, 2, 0, 3, 0, 1, 1, 3, 3, 3, 3, 0, 2, 1, 2, 2, 0, 2, 1, 3, 0, 3, 3, 3, 0, 2, 2, 1, 3, 1, 2, 2, 2, 2, 0, 3, 0, 3, 0, 3, 0, 3, 3, 1, 0, 1, 2, 2, 1, 3, 2, 0, 2, 1, 2, 1, 1, 3, 3, 3, 0, 3, 0, 2, 2, 0, 2, 1, 1, 3, 0, 1, 2, 2, 0, 3, 0, 3, 0, 3, 3, 1, 0, 1, 2, 2, 2, 1, 3, 1, 2, 2, 1, 3, 3, 3, 0, 3, 0, 2, 3, 0, 1, 0, 2, 2, 1, 3, 2, 0, 2, 1, 2, 1, 1, 3, 3, 3, 0, 3, 0, 0, 2, 0, 2, 0, 3, 3, 1, 2, 2, 1, 2, 1, 3, 3, 3, 1, 2, 1, 2, 0, 3, 1, 3, 0, 0, 2, 0, 2, 1, 3, 2, 0, 0, 3, 3, 1, 0, 1, 2, 2, 2, 1, 1, 3, 0, 1, 2, 2, 1, 3, 3, 3, 3, 0, 0, 2, 2, 1, 2, 2, 1, 3, 3, 3, 0, 1, 0, 2, 0, 0, 0, 3, 3, 1, 2, 1, 2, 1, 2, 2, 0, 3, 0, 3, 0, 3, 0, 3, 1, 1, 1, 0, 1, 2, 2, 1, 2, 2, 1, 3, 3, 3, 0, 1, 3, 0, 2, 0, 2, 1, 3, 3, 0, 2, 2, 1, 3, 1, 2, 2, 2, 2, 0, 3, 0, 3, 0, 3, 0, 3, 1, 2, 2, 1, 3, 1, 3, 1, 3, 0, 0, 0, 1, 2, 3, 0, 2, 2, 0, 3, 0, 3, 1, 2, 2, 1, 2, 1, 3, 1, 3, 1, 2, 2, 2, 2, 0, 3, 0, 3, 3, 0, 3, 1, 3, 0, 1, 0, 2, 2, 2, 1, 3, 1, 2, 2, 1, 3, 3, 3, 0, 1, 0, 3, 0, 0, 2, 2, 0, 3, 0, 3, 1, 2, 2, 1, 2, 1, 3, 1, 3, 0, 2, 1, 3, 1, 2, 2, 2, 2, 0, 3, 0, 3, 0, 3, 0, 3, 3, 1, 2, 3, 0, 2, 1, 1, 2, 1, 3, 3, 0, 2, 0, 2, 1, 1, 3, 1, 3, 0, 0, 2, 0, 2, 0, 3, 3, 1]"
3,3858330003,"[2, 1, 2, 3, 0, 3, 1, 2, 1, 2, 0, 3, 3, 1, 2, 1, 1, 3, 0, 2, 1, 3, 1, 2, 0, 1, 3, 0, 0, 2, 0, 2, 0, 3, 3, 1, 0, 1, 2, 1, 1, 2, 2, 1, 3, 2, 0, 3, 3, 3, 1, 2, 0, 3, 0, 2, 1, 2, 2, 1, 3, 2, 0, 3, 3, 3, 0, 0, 1, 0, 2, 1, 1, 3, 1, 2, 0, 1, 3, 0, 0, 0, 2, 2, 0, 3, 0, 3, 1, 2, 2, 1, 3, 1, 1, 1, 2, 3, 0, 3, 0, 2, 0, 2, 0, 3, 3, 1, 0, 1, 2, 1, 1, 1, 2, 2, 0, 1, 3, 3, 0, 3, 0, 2, 1, 1, 2, 2, 2, 3, 0, 3, 3, 1, 3, 0, 0, 2, 0, 2, 0, 3, 3, 1, 1, 1]"
4,3858330004,"[2, 2, 3, 2, 0, 2, 0]"
5,3858330005,"[3, 2, 1, 1, 3, 0, 2, 1, 1, 1, 1, 3, 0, 0]"
6,3858330006,"[2, 3, 1, 2]"
7,3858330007,"[2, 1, 1, 3, 3, 0, 2, 0, 1, 3, 1, 2, 2, 2, 2, 0, 0, 2, 1, 1, 1, 1, 3, 0, 2, 0, 0, 0, 3, 3, 3, 1, 3, 2, 0, 2, 1, 2, 0, 2, 1, 1, 1, 3, 0, 2, 1, 3, 0, 3, 0, 3, 3, 1, 2, 0, 1, 3, 3, 0, 2, 0, 2, 2, 2, 1, 0, 2, 1, 1, 1, 3, 0, 3, 2, 2, 0, 0, 3, 1, 0, 2, 1, 3, 3, 3, 3, 1, 2, 0, 1, 3, 3, 0, 2, 0, 2, 2, 1, 2, 1, 3, 2, 0, 0, 2, 1, 1, 1, 1, 3, 0, 2, 0, 0, 0, 3, 3, 1, 1, 3, 2, 3, 0, 3, 0, 2, 2, 1, 2, 0, 2, 1, 1, 1, 3, 0, 2, 1, 3, 0, 3, 3, 0, 3, 3, 1, 2, 3, 0, 2, 2, 0, 2, 1, 1, 2, 2, 0, 3, 0, 3, 3, 3, 1, 1, 2, 0, 1, 3, 3, 0, 2, 0, 2, 2, 2, 1, 3, 0, 1, 2, 1, 3, 2, 0, 0, 3, 3, 3, 1, 2, 3, 2, 0, 2, 2, 2, 1, 1, 1, 3, 0, 3, 3, 2, 3, 0, 3, 0, 2, 2, 2, 1, 3, 0, 3, 3, 1, 3, 1, 2, 2, 3, 3, 0, 2, 0, 2, 2, 1, 3, 1, 2, 3, 3, 3, 0, 2, 0, 1, 3, 1, 2, 2, 2, 0, 0, 2, 2, 1, 1, 1, 3, 0, 2, 1, 3, 0, 3, 3, 3, 3, 0, 2, 0, 2, 1, 3, 2, 0, 2, 1, 1, 3, 2, 3, 0, 3, 0, 2, 2, 2, 1, 0, 2, 1, 3, 3, 3, 3, 3, 1, 2, 3, 0, 2, 2, 0, 2, 1, 2, 1, 0, 0, 2, 1, 1, 3, 3, 0, 3, 3, 1, 2, 0, 1, 3, 3, 0, 2, 0, 2, 2, 1, 2, 1, 1]"
8,3858330008,"[1, 3, 0]"
9,3858330009,"[1, 1, 2, 1, 1, 3, 1, 2, 0, 0, 0, 3, 1, 2, 1, 1, 3, 3, 0, 1, 2, 0, 0]"
